Date,BAJAJFINSV,ASIANPAINT,BAJFINANCE,ONGC,BHARTIARTL,SBILIFE,ICICIBANK,AXISBANK,TITAN,EICHERMOT,NESTLEIND,BRITANNIA,TCS,GRASIM,KOTAKBANK,INFY,HDFCLIFE,BPCL,HEROMOTOCO,MARUTI,UPL,BAJAJ,COALINDIA,CIPLA,RELIANCE,DIVISLAB,WIPRO,TATASTEEL,TECHM,HINDUNILVR,LTIM,APOLLOHOSP,SBIN,HDFCBANK,SUNPHARMA,ULTRACEMCO,HINDALCO,NTPC,TATAMOTORS,HCLTECH,TATACONSUM,M&M,ITC,POWERGRID,INDUSINDBK,ADANIENT,ADANIPORTS,JSWSTEEL,DRREDDY,LT
25-Aug-2023,1468.6,3224.9,7115.0,173.1,869.45,1293.05,962.95,974.0,3055.0,3341.0,22190.0,4544.6,3375.0,1760.0,1771.2,1413.0,630.0,351.3,2931.8,9554.0,585.0,4624.0,229.0,1217.95,2456.0,3641.7,410.0,118.0,1190.0,2567.0,5131.0,4900.0,573.8,1574.55,1118.0,8179.0,453.0,221.85,610.85,1165.0,840.0,1530.9,450.9,246.15,1417.95,2549.0,823.0,781.0,5890.0,2677.45
24-Aug-2023,1480.0,3185.0,7150.0,175.5,873.0,1299.9,972.5,984.8,3075.7,3365.0,22283.0,4538.3,3408.0,1805.0,1789.0,1421.5,635.0,347.45,2955.0,9661.65,589.0,4689.0,231.85,1235.2,2539.9,3710.0,418.75,119.5,1206.2,2585.0,5219.0,4955.0,578.15,1593.3,1123.6,8211.0,464.0,222.0,618.0,1188.95,845.0,1550.05,450.6,250.0,1408.25,2580.0,834.0,800.0,5980.0,2747.5
23-Aug-2023,1474.0,3186.0,7100.0,177.0,877.0,1289.95,954.0,962.0,3075.6,3343.4,22100.0,4555.0,3388.0,1810.0,1769.8,1416.0,638.0,349.15,2969.0,9519.0,585.0,4640.0,231.25,1252.05,2524.2,3671.0,417.25,117.85,1213.2,2575.0,5155.05,4958.0,571.0,1580.0,1128.0,8209.9,454.7,222.9,622.75,1192.95,848.0,1546.05,455.6,250.0,1401.15,2720.0,858.55,799.0,5920.0,2689.55
22-Aug-2023,1485.0,3198.6,7051.05,176.05,871.0,1284.35,956.4,953.85,3084.95,3361.2,22034.35,4524.8,3400.0,1810.0,1769.0,1404.7,625.0,352.1,2940.0,9420.2,590.0,4617.95,230.4,1233.8,2516.9,3665.25,415.0,117.15,1218.85,2573.6,5170.0,4947.9,572.5,1596.35,1135.0,8222.05,449.75,219.25,621.8,1182.0,847.0,1538.0,449.0,248.0,1403.0,2668.85,863.9,799.9,5919.0,2668.0
21-Aug-2023,1455.0,3159.9,6801.0,175.3,855.65,1282.95,950.7,944.2,3051.0,3344.95,21830.0,4555.95,3375.0,1790.95,1751.0,1389.75,625.0,352.9,2929.0,9455.55,582.0,4603.0,227.45,1237.45,2539.95,3650.05,411.8,116.75,1205.0,2554.75,5086.0,4881.0,572.95,1600.5,1129.95,8214.4,443.0,217.2,617.0,1172.95,846.0,1546.0,442.0,242.3,1375.0,2588.0,840.1,793.0,5870.25,2641.85
18-Aug-2023,1470.0,3174.9,6893.5,177.65,856.7,1278.55,947.9,934.85,3070.6,3298.0,21667.45,4499.0,3410.0,1795.0,1757.1,1403.7,623.0,356.95,2989.7,9350.0,584.0,4649.55,228.5,1239.0,2531.25,3661.75,415.05,116.3,1225.95,2532.1,5100.0,4874.95,570.0,1587.55,1141.0,8200.0,447.5,215.8,612.8,1173.0,845.0,1568.75,441.0,243.65,1369.0,2477.5,807.0,789.9,5899.5,2650.0
17-Aug-2023,1473.0,3223.9,7020.0,178.7,857.2,1286.5,956.95,935.95,3018.0,3319.0,21900.0,4498.5,3455.0,1810.0,1782.0,1420.0,625.15,359.0,2997.4,9414.9,589.0,4576.05,233.7,1235.0,2567.1,3700.0,418.65,115.9,1225.0,2552.6,5188.0,4940.5,565.75,1597.6,1143.65,8225.1,443.0,219.45,620.0,1176.85,835.0,1573.0,450.0,248.05,1381.15,2454.95,778.0,794.85,5871.35,2691.05
16-Aug-2023,1482.0,3194.9,6994.0,176.3,870.0,1295.0,954.45,935.95,3005.0,3346.95,22130.0,4488.6,3450.0,1812.0,1787.0,1410.8,627.1,356.75,3005.0,9334.0,590.3,4577.0,234.0,1231.55,2551.0,3731.0,414.15,117.95,1221.0,2534.0,5199.0,4800.0,558.8,1583.1,1134.95,8004.95,447.0,212.95,606.7,1175.75,840.9,1559.05,451.0,244.6,1384.0,2450.0,786.0,803.7,5830.0,2669.0
14-Aug-2023,1496.0,3185.35,7040.0,180.0,870.5,1314.0,949.0,935.0,3020.35,3372.0,21844.25,4519.7,3440.7,1824.95,1789.0,1371.85,632.1,358.0,3009.9,9360.0,600.0,4576.0,236.0,1250.2,2539.0,3645.1,413.25,120.3,1212.1,2501.8,5090.0,4863.0,572.95,1611.0,1131.0,8129.8,458.6,213.3,612.0,1170.65,838.85,1544.95,448.75,244.85,1395.0,2480.0,781.0,815.0,5829.95,2637.0
11-Aug-2023,1518.95,3237.9,7143.85,178.9,872.0,1340.0,963.4,937.5,2988.5,3420.0,21989.75,4540.0,3438.1,1828.8,1798.0,1392.0,640.0,359.3,3044.9,9397.6,611.0,4636.6,234.0,1258.3,2532.45,3732.95,418.65,120.3,1235.8,2535.0,5115.0,4930.0,575.45,1638.4,1150.05,8125.0,467.0,214.9,619.75,1160.0,849.7,1548.55,453.9,245.5,1431.75,2550.05,806.9,830.0,5854.0,2642.05
